the
I
a
to
his
he
and
it
of
that
The
was
in
not
be
you
had
as
my
they
He
time
her
have
all
we
But
him
with
for
their
It
little
at
which
been
Mr
on
man
this
said
so
me
one
is
And
were
them
an
no
she
men
day
our
if
very
by
would
You
there
then
but
more
your
do
water
hand
some
donot
two
found
night
They
head
up
see
what
We
thought
round
from
out
us
moment
now
are
soon
half
What
any
look
sir
There
will
when
could
Then
left
A
ship
boy
much
go
work
tell
No
boat
good
course
house
way
Jack
eyes
heard
other
face
This
about
As
only
make
hands
into
Well
replied
get
come
sea
well
made
Yes
Tom
seen
If
mind
such
Now
In
door
take
morning
She
told
till
say
once
set
At
fire
long
cried
like
felt
its
life
poor
home
Oh
father
So
than
first
looking
feet
stood
know
great
Mrs
down
light
or
never
old
deck
did
over
Captain
hour
That
wind
mother
again
When
fellow
answered
lay
friend
before
being
returned
indeed
brought
I am
board
boys
close
must
gone
passed
people
Why
just
those
too
after
last
might
hope
went
these
captain
few
heart
hear
help
short
name
For
rest
sight
every
came
called
My
party
another
ready
word
back
voice
minutes
quite
upon
matter
most
white
here
still
put
fell
three
near
I will
days
run
sat
Harry
can
nothing
going
ever
ground
think
hard
believe
leave
exclaimed
own
many
should
it is
How
find
right
better
forward
sent
followed
far
coming
may
has
length
done
how
five
mean
Dick
give
himself
kept
fact
shot
lost
years
canot
same
cut
towards
young
even
hold
His
continued
taking
appeared
distance
evening
air
dark
off
place
friends
got
words
dead
nearly
All
country
who
means
where
though
doubt
suppose
ran
bed
sort
care
sound
CHAPTER
rose
black
feel
call
strong
crew
school
reached
English
deep
watch
bad
master
To
shore
pretty
return
something
saw
suddenly
away
wish
let
keep
shall
held
ye
hours
sail
looked
low
river
miles
Miss
God
fear
arms
Here
On
caught
speak
carried
seemed
land
getting
each
while
having
hundred
whole
wonot
sun
true
ten
fast
arm
didnot
through
six
woman
Not
heavy
chance
body
I have
world
money
boats
eye
island
top
without
took
side
both
question
Do
try
talk
position
spot
business
foot
taken
trees
line
anything
glad
thing
table
manner
sure
bring
One
twenty
walked
love
observed
past
gun
understand
feeling
almost
end
yet
times
spoke
doctor
deal
It is
sleep
Mark
By
small
idea
laid
under
lady
Come
read
letter
Bevis
an'
afraid
death
fine
minute
wild
possible
standing
next
struck
gentleman
direction
After
craft
quarter
THE
stand
cabin
already
best
met
answer
rock
somewhat
entered
weather
fight
tree
lad
George
always
child
appearance
remained
escape
yards
fellows
least
Ah
afterwards
story
turned
also
girl
running
Of
shouted
uncle
except
arrived
vessel
mouth
began
horse
immediately
enemy
that is
rather
window
full
enough
skipper
town
scarcely
chief
whom
brother
strange
tried
four
saying
reason
received
room
things
wife
fall
slowly
guns
remember
carry
bit
form
myself
beyond
added
drew
led
Sir
red
late
week
son
road
straight
mine
knew
fish
able
trouble
difficulty
lying
duty
year
anxious
none
hardly
Donot
children
making
silence
dear
expected
broken
following
Edward
large
front
number
quiet
evidently
With
Is
leaving
asked
mile
quickly
breakfast
latter
blue
pass
danger
fair
dinner
news
war
force
seeing
dog
thinking
wonder
safe
presently
new
usual
save
sometimes
meet
probably
order
attempt
part
cold
blood
comes
afternoon
company
charge
surprise
proceeded
companion
sky
send
piece
wrong
easy
reach
main
Let
stopped
whatever
please
breeze
walk
sorry
sharp
cry
John
bound
service
grew
glass
ill
effect
change
fresh
he is
turn
outside
started
reply
sitting
gave
strength
because
broke
impossible
smile
dozen
That is
purpose
attack
bottom
view
schooner
worse
attention
follow
wood
blow
there is
king
power
wall
several
morrow
Martin
altogether
discovered
bear
s
family
point
tone
hot
use
quietly
happy
beautiful
open
opportunity
passage
hair
instant
Amyas
eight
account
laughed
truth
dropped
stream
others
placed
sudden
wouldnot
case
object
therefore
wait
waiting
village
live
carefully
England
scene
shoulder
act
camp
paper
legs
less
ships
play
easily
giving
clear
pulled
however
laugh
thick
talking
lips
perhaps
heads
character
stay
beside
stern
given
fallen
ahead
stop
remain
aunt
pocket
couldnot
pay
presence
Good
alongside
rapidly
burst
doing
Alice
corner
mate
French
Very
meant
bow
raised
Doctor
Look
present
result
determined
although
sprang
free
officer
bright
darkness
you are
until
rocks
second
birds
broad
Will
killed
loud
conversation
lads
unless
single
beginning
allowed
gold
remarked
earth
 them
edge
wide
perfectly
ears
pleased
brig
floor
certain
Jim
smoke
gentlemen
Master
stone
women
pleasant
either
asleep
Diamond
sooner
threw
canvas
terrible
sit
Indian
book
Clare
pleasure
notice
occasion
subject
William
grass
finished
you will
watching
expect
nature
catch
Don
laughing
of the clock
Who
green
filled
bank
visit
opinion
trying
chair
fore
Where
wounded
Roger
port
Ready
eat
horses
shook
further
apparently
officers
engaged
Walter
interest
speed
These
King
months
quick
step
covered
greatly
want
food
rising
search
move
agreed
break
plenty
Lord
fancy
circumstances
trust
rushed
couple
seized
aft
command
often
garden
person
lives
worth
high
die
silent
ashore
clothes
sails
journey
distant
Just
particular
difficult
Eric
obliged
London
since
third
study
sufficient
lie
become
show
hill
plain
neck
forth
ask
aware
aboard
watched
within
fairly
'
ainot
condition
moved
goes
hurt
events
lower
Humphrey
rope
hole
narrow
finding
possibly
considerable
completely
especially
dry
rate
along
busy
gradually
Spanish
thus
keeping
exactly
occurred
thrown
prepared
noise
proved
middle
tea
allow
hung
Some
breath
Reginald
beach
start
nearer
cast
former
seven
ladies
kind
Indeed
matters
Max
thoughts
task
Micawber
However
forest
among
everything
moon
fired
inside
begin
knife
dare
died
honour
surprised
coast
putting
yard
shut
else
game
self
north
lieutenant
besides
lived
alive
surface
serious
drawing
forget
fit
tired
wished
Harvey
really
hat
pair
Our
spirit
big
tears
British
daughter
passing
cottage
Are
thank
snow
perfect
caused
known
action
plan
gale
steps
supposed
pieces
spirits
soul
speaking
Your
satisfied
instantly
holding
required
sense
possession
O
de
path
whispered
happened
succeeded
demanded
learned
Peggotty
rush
glance
street
considered
Perhaps
Bill
thousand
closed
hut
drink
meal
storm
crowd
pale
huge
Jeffreys
soft
swept
Campbell
behind
Curdie
knowing
against
age
sign
There is
beneath
box
iron
loss
pull
paid
walking
rough
Never
Have
teeth
I would
fleet
twice
arrival
While
warm
figure
nose
directly
satisfaction
Mole
tail
sand
settled
oars
guard
decided
Her
hit
